========================================================================================================
PARAMETER IDENTIFICATION  (IR ~ 1.0 => behaving like random daily draws; IR -> 0 => well identified)
========================================================================================================

### Bates_2010-2012
param     variant      std(dp)    random      IR    pin%     ac1   verdict

### rBergomi_2020-2022
param     variant      std(dp)    random      IR    pin%     ac1   verdict
--------------------------------------------------------------------------------------------------------
xi        nonsent       0.0236    0.0527    0.45    5.5%    0.70   moderate
nu        nonsent       0.4405    1.1400    0.39   12.6%    0.89   moderate
rho       nonsent       0.2419    0.6165    0.39    0.7%    0.75   moderate
H         nonsent       0.1082    0.1791    0.60    4.8%    0.66   weak
xi        sentiment     0.0253    0.0529    0.48    5.6%    0.64   moderate
nu        sentiment     0.4531    1.1139    0.41   10.7%    0.87   moderate
rho       sentiment     0.2044    0.5497    0.37    0.9%    0.71   moderate
H         sentiment     0.1113    0.1782    0.62    3.6%    0.58   weak

========================================================================================================
SUMMARY - mean identification ratio by model family (lower = better identified)
========================================================================================================
  Bergomi      mean IR = 0.65   (8/32 params behaving ~randomly)
  Bates        mean IR = 0.70   (16/64 params behaving ~randomly)
  rBergomi     mean IR = 0.73   (12/32 params behaving ~randomly)
  Heston       mean IR = 0.78   (18/40 params behaving ~randomly)

Wrote full_project_output/eval_surfaces/analysis/param_identification.csv
