cell,model,variant,param,min,max,std_daily_change,std_if_random,identification_ratio,pin_rate,ac1_level,verdict
Bates_2020-2022,Bates,nonsent,rho,-0.89876,-0.10105,0.17187,0.32566,0.528,0.009,0.444,weak
Bates_2020-2022,Bates,nonsent,lambdaJ,0.02876,1.989,0.37165,0.80027,0.464,0.007,0.191,moderate
Bates_2020-2022,Bates,nonsent,muJ,-0.19963,0.02609,0.04354,0.09215,0.473,0.008,0.179,moderate
Bates_2020-2022,Bates,nonsent,sigmaJ,0.01425,0.19995,0.03391,0.07581,0.447,0.012,0.369,moderate
Bates_2020-2022,Bates,sentiment,kappa,0.10073,2.99958,0.90893,1.18345,0.768,0.024,0.43,weak
Bates_2020-2022,Bates,sentiment,theta,0.01192,0.15,0.03177,0.05637,0.563,0.007,0.384,weak
Bates_2020-2022,Bates,sentiment,sigma,0.10132,0.79932,0.14144,0.28496,0.496,0.011,0.141,moderate
Bates_2020-2022,Bates,sentiment,v0,0.01761,0.15,0.02792,0.05405,0.517,0.035,0.685,weak
Bates_2020-2022,Bates,sentiment,rho,-0.89885,-0.10073,0.17207,0.32583,0.528,0.009,0.454,weak
Bates_2020-2022,Bates,sentiment,lambdaJ,0.03021,1.98859,0.37358,0.79951,0.467,0.008,0.198,moderate
Bates_2020-2022,Bates,sentiment,muJ,-0.19968,0.02646,0.04398,0.09232,0.476,0.009,0.201,moderate
Bates_2020-2022,Bates,sentiment,sigmaJ,0.01389,0.19994,0.03357,0.07595,0.442,0.012,0.374,moderate
Bergomi_2010-2012,Bergomi,nonsent,xi,0.01898,0.15,0.01927,0.05349,0.36,0.043,0.826,moderate
Bergomi_2010-2012,Bergomi,nonsent,nu,0.66324,3.5,0.66476,1.1581,0.574,0.051,0.439,weak
Bergomi_2010-2012,Bergomi,nonsent,rho,-0.94979,0.31943,0.37333,0.51816,0.72,0.015,0.21,weak
Bergomi_2010-2012,Bergomi,nonsent,beta,0.05467,9.98289,3.92978,4.05318,0.97,0.027,0.207,NOT identified
Bergomi_2010-2012,Bergomi,sentiment,xi,0.02019,0.15,0.0194,0.05299,0.366,0.046,0.825,moderate
Bergomi_2010-2012,Bergomi,sentiment,nu,0.66005,3.5,0.66571,1.15941,0.574,0.051,0.445,weak
Bergomi_2010-2012,Bergomi,sentiment,rho,-0.94977,0.34132,0.38528,0.52709,0.731,0.016,0.207,weak
Bergomi_2010-2012,Bergomi,sentiment,beta,0.04917,9.98452,3.90431,4.05609,0.963,0.031,0.223,NOT identified
Bergomi_2013-2015,Bergomi,nonsent,xi,0.01637,0.15,0.03674,0.05455,0.673,0.056,0.526,weak
Bergomi_2013-2015,Bergomi,nonsent,nu,0.59268,3.49999,0.99368,1.1869,0.837,0.062,0.217,NOT identified
Bergomi_2013-2015,Bergomi,nonsent,rho,-0.94499,0.24274,0.30435,0.48489,0.628,0.019,0.396,weak
Bergomi_2013-2015,Bergomi,nonsent,beta,0.00695,9.99421,4.61357,4.07728,1.132,0.077,0.126,NOT identified
Bergomi_2013-2015,Bergomi,sentiment,xi,0.0158,0.15,0.03618,0.05479,0.66,0.067,0.561,weak
Bergomi_2013-2015,Bergomi,sentiment,nu,0.59588,3.49999,0.99226,1.18559,0.837,0.061,0.223,NOT identified
Bergomi_2013-2015,Bergomi,sentiment,rho,-0.94532,0.24516,0.30292,0.48601,0.623,0.019,0.418,weak
Bergomi_2013-2015,Bergomi,sentiment,beta,0.00449,9.99397,4.58536,4.07819,1.124,0.069,0.132,NOT identified
Bergomi_2016-2019,Bergomi,nonsent,xi,0.01593,0.15,0.02745,0.05473,0.502,0.069,0.767,weak
Bergomi_2016-2019,Bergomi,nonsent,nu,0.60005,3.5,0.69657,1.1839,0.588,0.027,0.451,weak
Bergomi_2016-2019,Bergomi,nonsent,rho,-0.94749,0.32077,0.23612,0.51777,0.456,0.017,0.616,moderate
Bergomi_2016-2019,Bergomi,nonsent,beta,0.00496,9.99906,3.80021,4.08007,0.931,0.077,0.395,NOT identified
Bergomi_2016-2019,Bergomi,sentiment,xi,0.01617,0.15,0.02656,0.05464,0.486,0.065,0.775,moderate
Bergomi_2016-2019,Bergomi,sentiment,nu,0.60822,3.5,0.67527,1.18056,0.572,0.028,0.469,weak
Bergomi_2016-2019,Bergomi,sentiment,rho,-0.9472,0.30767,0.2313,0.5123,0.451,0.017,0.612,moderate
Bergomi_2016-2019,Bergomi,sentiment,beta,0.00618,9.99868,3.73243,4.07942,0.915,0.075,0.399,NOT identified
Bergomi_2020-2022,Bergomi,nonsent,xi,0.01753,0.15,0.02582,0.05408,0.478,0.072,0.707,moderate
Bergomi_2020-2022,Bergomi,nonsent,nu,0.5136,3.5,0.57,1.21919,0.468,0.052,0.676,moderate
Bergomi_2020-2022,Bergomi,nonsent,rho,-0.94993,0.63855,0.22938,0.64849,0.354,0.015,0.768,moderate
Bergomi_2020-2022,Bergomi,nonsent,beta,0.0,9.98083,2.87525,4.07466,0.706,0.061,0.593,weak
Bergomi_2020-2022,Bergomi,sentiment,xi,0.01768,0.15,0.02579,0.05402,0.477,0.075,0.71,moderate
Bergomi_2020-2022,Bergomi,sentiment,nu,0.51228,3.5,0.56548,1.21973,0.464,0.055,0.669,moderate
Bergomi_2020-2022,Bergomi,sentiment,rho,-0.94992,0.62027,0.22243,0.64103,0.347,0.015,0.754,moderate
Bergomi_2020-2022,Bergomi,sentiment,beta,0.0,9.97951,2.88615,4.07412,0.708,0.057,0.586,weak
Heston_2010-2012,Heston,nonsent,kappa,0.11357,2.89968,1.15484,1.13742,1.015,0.058,0.179,NOT identified
Heston_2010-2012,Heston,nonsent,theta,0.01074,0.14,0.04773,0.05277,0.905,0.05,0.196,NOT identified
Heston_2010-2012,Heston,nonsent,sigma,0.11475,0.7,0.16051,0.23893,0.672,0.093,0.502,weak
Heston_2010-2012,Heston,nonsent,v0,0.01635,0.14,0.02259,0.05048,0.447,0.065,0.804,moderate
Heston_2010-2012,Heston,nonsent,rho,-0.89358,0.62514,0.50029,0.62001,0.807,0.019,0.161,NOT identified
Heston_2010-2012,Heston,sentiment,kappa,0.11431,2.89953,1.157,1.13706,1.018,0.048,0.171,NOT identified
Heston_2010-2012,Heston,sentiment,theta,0.01075,0.14,0.04634,0.05277,0.878,0.047,0.226,NOT identified
Heston_2010-2012,Heston,sentiment,sigma,0.12184,0.7,0.15375,0.23603,0.651,0.091,0.513,weak
Heston_2010-2012,Heston,sentiment,v0,0.01644,0.14,0.02237,0.05044,0.443,0.06,0.805,moderate
Heston_2010-2012,Heston,sentiment,rho,-0.89134,0.53317,0.45279,0.58155,0.779,0.015,0.15,weak
Heston_2013-2015,Heston,nonsent,kappa,0.10054,2.89997,1.2401,1.14286,1.085,0.153,0.288,NOT identified
Heston_2013-2015,Heston,nonsent,theta,0.01164,0.14,0.05836,0.0524,1.114,0.089,0.196,NOT identified
Heston_2013-2015,Heston,nonsent,sigma,0.11573,0.7,0.14675,0.23853,0.615,0.08,0.383,weak
Heston_2013-2015,Heston,nonsent,v0,0.01322,0.14,0.04501,0.05176,0.87,0.1,0.484,NOT identified
Heston_2013-2015,Heston,nonsent,rho,-0.89686,0.29244,0.38844,0.48553,0.8,0.015,0.132,NOT identified
Heston_2013-2015,Heston,sentiment,kappa,0.10049,2.89998,1.24858,1.14289,1.092,0.161,0.284,NOT identified
Heston_2013-2015,Heston,sentiment,theta,0.01132,0.14,0.05864,0.05253,1.116,0.098,0.193,NOT identified
Heston_2013-2015,Heston,sentiment,sigma,0.11653,0.7,0.14756,0.2382,0.619,0.076,0.386,weak
Heston_2013-2015,Heston,sentiment,v0,0.0133,0.14,0.04546,0.05172,0.879,0.103,0.48,NOT identified
Heston_2013-2015,Heston,sentiment,rho,-0.89688,0.32311,0.40067,0.49806,0.804,0.015,0.136,NOT identified
Heston_2016-2019,Heston,nonsent,kappa,0.10012,2.89992,1.29283,1.14301,1.131,0.139,0.204,NOT identified
Heston_2016-2019,Heston,nonsent,theta,0.01162,0.14,0.05908,0.05241,1.127,0.098,0.153,NOT identified
Heston_2016-2019,Heston,nonsent,sigma,0.15475,0.7,0.13192,0.2226,0.593,0.06,0.393,weak
Heston_2016-2019,Heston,nonsent,v0,0.01337,0.14,0.0468,0.0517,0.905,0.088,0.395,NOT identified
Heston_2016-2019,Heston,nonsent,rho,-0.89882,0.60453,0.386,0.61374,0.629,0.015,0.226,weak
Heston_2016-2019,Heston,sentiment,kappa,0.10007,2.89994,1.30728,1.14304,1.144,0.155,0.206,NOT identified
Heston_2016-2019,Heston,sentiment,theta,0.01119,0.14,0.06019,0.05259,1.145,0.107,0.154,NOT identified
Heston_2016-2019,Heston,sentiment,sigma,0.16153,0.7,0.12982,0.21983,0.591,0.059,0.408,weak
Heston_2016-2019,Heston,sentiment,v0,0.01367,0.14,0.04578,0.05157,0.888,0.087,0.402,NOT identified
Heston_2016-2019,Heston,sentiment,rho,-0.89895,0.61764,0.4145,0.61915,0.669,0.018,0.236,weak
Heston_2020-2022,Heston,nonsent,kappa,0.1,2.89979,0.85413,1.14301,0.747,0.027,0.376,weak
Heston_2020-2022,Heston,nonsent,theta,0.01018,0.14,0.0372,0.053,0.702,0.033,0.37,weak
